id	word	grammar	preverbs	meanings
509	kakṣāpuṭa	m		cloth passed between the legs to cover the privities
510	kakṣāpuṭi	m		name of a physician
511	kakṣāvekṣaka	m		overseer of the inner apartments; keeper of a royal garden; door-keeper; poet; debauchee; player; painter; warmth of feeling; strength of sentiment
512	kakṣāśrita	n		"being in the arm-pit"; hair under the arm-pit
513	kakṣotthā	f		species of Cyperus
514	kakṣodaka	n		moisture in a thicket
515	kakṣaka	m		name of a Nāga; = kakṣā, arm-pit (?)
516	kakṣatu	m		name of a plant
517	kakṣin	adj		having or furnished with a kakza
518	kakṣīkaraṇa	n		act of admitting or assenting
