id	word	grammar	preverbs	meanings
519	kakṣīkartavya	adj		to be adopted or admitted (as an opinion)
520	kakṣīkāra	m		adoption; admission; holding (as of an opinion)
521	kakṣīkṛta	adj		assented; held; promised; admitted
522	kakṣīvant	m		name of a renowned Ṛṣi (sometimes called Pajriya)
523	kakṣeyu	m		name of a son of Raudrāśva and Ghṛtācī; name of a son of Dhṛtā and Bhadrāśva
524	kakṣya	adj		being or abiding in shrubs or dry grass; filling out the girth; well fed
525	kakṣyā	f		girth (of an animal); girdle; enclosure of an edifice; orbit of a planet; scale of a balance; an upper garment; similarity; equality; effort; exertion; shrub yielding the black and red berry (that serves as a jeweller's weight); Retti or Guñja; Abrus Precatorius; the fingers; [rel.] name of Devī
526	kakṣya	n		scale of a balance; part of a carriage; girdle; girth; ein Gurt
527	kakṣyāvat	adj		furnished with a girth
528	kakṣyāstotra	n		name of a Stotra
529	kaṅka	m		heron (the first heron is supposed to be a son of SurasA); a kind of mango; name of Yama; name assumed by Yudhiṣṭhira (before king Virāṭa); false or pretended Brāhman; man of the second or military tribe; one of the eighteen divisions of the continent; name of a people; name of a son of Ugrasena; name of a mountain; a form of Śiva
531	kaṅkā	f		a kind of sandal; scent of the lotus
532	kaṅkā	f		name of a daughter of Ugrasena
533	kaṅkacit	adj		collected into a heap resembling a heron
534	kaṅkatroṭa	m		kind of fish; Esox Kankila
535	kaṅkatroṭi	m		kind of fish
538	kaṅkapattra	m		an arrow furnished with heron's feathers
540	kaṅkaparvan	m		kind of serpent
541	kaṅkapṛṣṭhī	f		species of fish
542	kaṅkamālā	f		beating time by clapping the hands
543	kaṅkamukha	adj		shaped like a heron's mouth (said of a sort of forceps)
544	kaṅkarola	m		Alangium Hexapetalum
545	kaṅkalatā	f		species of plant
546	kaṅkavadana	n		"heron's mouth"; pair of tongs
547	kaṅkaśatru	m		Desmodium Gangeticum
548	kaṅkaśāya	m		dog
549	kaṅkaṭa	m		armour; mail; an iron hook (to goad an elephant); boundary; limit; name of a people; name of a king
550	kaṅkaṭaka	m		armour; mail; name of a mountain
551	kaṅkaṭika	adj		relating to armour
552	kaṅkaṭin	adj		furnished with armour
553	kaṅkaṭin	m		chamberlain
554	kaṅkaṭila	adj		armed with mail
555	kaṅkaṭerī	f		turmeric
556	kaṅkaṇa	n		bracelet; ornament for the wrist; ring; band or ribbon (tied round the wrist of a bride or bridegroom before marriage); an ornament round the feet of an elephant; any ornament or trinket; crest
557	kaṅkaṇa	m		name of a teacher; a kind of ornament (? see kaṅkaṇi)
558	kaṅkaṇā	f		name of one of the mothers in the retinue of Skanda
559	kaṅkaṇī	f		an ornament furnished with bells
560	kaṅkaṇadhara	m		bridegroom
561	kaṅkaṇadharā	f		bride
562	kaṅkaṇapura	n		name of a town
563	kaṅkaṇapriya	m		name of a demon causing fevers
564	kaṅkaṇabhūṣaṇa	adj		adorned with tinkling ornaments
565	kaṅkaṇamaṇī	f		jewel in a bracelet
566	kaṅkaṇavarṣa	adj		"raining down bracelets"; magician; name of a king
567	kaṅkaṇavarṣitā	f		state of being a magician
568	kaṅkaṇahārikā	f		kind of bird
569	kaṅkaṇin	adj		ornamented with a bracelet
570	kaṅkaṇīka	m		name of a Nāga
571	kaṅkaṇīkā	f		an ornament furnished with bells; string tied round the wrist
572	kaṅkata	m		comb; hair-comb; a slightly venomous animal; name of a teacher
573	kaṅkatī	f		Sida Rhombifolia
574	kaṅkatikā	f		comb; Sida Rhombifolia
575	kaṅkatīya	m		name of a family
576	kaṅkara	adj		vile; bad
577	kaṅkara	n		buttermilk mixed with water; a particular high number
578	kaṅkāla	mn		skeleton; name of a mythical weapon
579	kaṅkāla	m		particular mode in music
580	kaṅkālaketu	m		name of a DAnava
581	kaṅkālabhairava	n		name of work
582	kaṅkālabhairavatantra	n		name of a work
583	kaṅkālamālabhārin	m		"wearing a necklace of bones"; name of Siva
584	kaṅkālamālin	m		name of Siva
585	kaṅkālamusala	n		name of a mythical weapon
586	kaṅkālaya	m		human body; name of an author
587	kaṅkālin	m		name of a Yakṣa
588	kaṅkālinī	f		name of a form of DurgA; name of a form of DurgA
589	kaṅku	m		a kind of Panic seed; name of a son of Ugrasena
590	kaṅkuṣṭha	mn		[min.] medicinal earth (described as of two colours, one of silvery and one of a gold colour, or one of a light and one of a dark yellow); [min.] tinstone; [min.] cassiterite; Gambose tree; Garcinia morella
591	kaṅkūṣa	m		a particular part of the head
592	kaṅkeru	m		kind of crow
593	kaṅkeli	m		Jonesia Asoka
594	kaṅkella	m		Jonesia Asoka
595	kaṅkelli	mf		kind of tree
596	kaṅkola	mn		a kind of plant /fragrant spice; name of a Nāga; name of an author; Piper cubeba Linn.F.
597	kaṅkolaka	n		cubeb; Piper cubeba Linn.
598	kaṅkha	n		enjoyment; fruition
599	kaṅganīla	m		name of a NAga
600	kaṅgunī	f		Celastrus Paniculatus; Panicum italicum Linn.; Kolbenhirse; Setaria italica Beauv.
601	kaṅgunīpattrā	mf		Panicum Verticillatum
602	kaṅgula	m		particular position of the hand
603	kaca	m		hair (esp. of the head); cicatrix; dry sore; scar; band; hem of a garment; cloud; name of a place; name of a man; name of the son of Bṛhaspati
604	kacā	f		female elephant; beauty; brilliancy
606	kacagrahaṇa	n		seizing the hair
607	kacadugdhikā	f		Cucurbita Hispida
608	kacapa	m		"cloud-drinker"; grass
609	kacapa	n		vessel for vegetables
610	kacapakṣa	m		thick or ornamented hair
611	kacapāśa	m		thick hair
612	kacabhāra	m		thick hair
613	kacamāla	m		smoke
614	kacahasta	m		thick or ornamented hair; beautiful hair
615	kacākac	ind		pulling each other's hair; hair against hair
616	kacācita	adj		having long or dishevelled hair
617	kacāmoda	n		fragrant ointment for the hair
618	kaceśvara	n		name of a temple
619	kacaka	m		kind of mushroom
620	kacela	n		string or cover containing and keeping together the leaves of a manuscript
621	kacaṅgala	n		ocean; free market (a place of sale paying no duty or custom); name of a region
622	kacāṭura	m		kind of gallinule
623	kacurāya	m		name of a man
624	kacora	mn		Curcuma Zerumbet
625	kaccaṭa	n		an aquatic plant
626	kaccara	adj		dirty; foul; spoiled by dirt; vile; wicked; bad
627	kaccara	n		buttermilk diluted with water
628	kaccha	m		bank or any ground bordering on water; shore; mound or causeway; watery soil; marshy ground; marsh; morass; name of several places; Cedrela Toona (the timber of which is used for making furniture &c.); Hibiscus Populneoides; a particular part of a tortoise; a particular part of a boat; name of a people; a lake; a stream
629	kaccha	mf		hem or end of a lower garment (tucked into the girdle or waistband)
630	kacchā	f		cricket; name of a plant; girdle
631	kacchajā	f		species of Cyperus
632	kacchadeśa	m		name of a place
633	kacchanīra	m		name of a Nāga
634	kacchanīra	n		name of a place
635	kacchapa	m		turtle; tortoise; [medic.] a tumour on the palate; an apparatus used in the distillation of spirituous liquor; a flat kind of still; an attitude in wrestling; Cedrela Toona; one of the nine treasures of Kuvera; name of a Nāga; name of a son of Viśvāmitra; name of a country; [alchemy] a kind of alchemical apparatus; [rel.] Viṣṇu in the form of a tortoise
636	kacchapī	f		female tortoise or a kind of small tortoise; a cutaneous disease; wart; blotch; a kind of lute (so named from being similar in shape to the tortoise)
637	kacchapadeśa	m		name of a country; name of a country
638	kacchapaka	m		tortoise
639	kacchapikā	f		kind of small tortoise; pimple; blotch; wart; a wart accompanying gonarrhoea; [medic.] a particular abscess (piḍaka)
640	kacchapuṭa	m		box with compartments
641	kacchabhū	f		marshy ground; swamp; morass
642	kaccharuhā	f		a kind of grass; Cyperus scariosus R. Br.
643	kacchavihāra	m		name of a marshy region
644	kacchādi	m		name of a gaZa
645	kacchānta	m		border of a lake or stream
646	kacchāntaruhā	f		white Dūrvā grass
647	kacchālaṃkāra	m		kind of reed (used for writing)
648	kaccheśvara	m		name of a town
649	kaccheṣṭa	m		tortoise
650	kacchaṭikā	f		end or hem of a lower garment or cloth (gathered up behind and tucked into the waistband)
651	kacchāṭikā	f		
652	kacchāra	m		name of a people
653	kacchiya	m		name of a people
654	kacchughna	m		Trichosanthes Dioeca
655	kacchughnī	f		species of HapuzA
656	kacchura	adj		scabby; itchy; affected by a cutaneous disease; unchaste; libidinous
657	kacchura	mn		species of turmeric
658	kacchurā	f		Carpopogon Pruriens; species of turmeric; Alhagi Maurorum
659	kacchū	f		itch; scab; any cutaneous disease; Mucuna pruriens DC. (Hindī kavāc = kevāṃc)
660	kacchūmatī	f		Carpopogon Pruriens (said to cause itching on being applied to the skin)
661	kacchūrākṣasa	n		kind of oil (applied in cutaneous diseases)
662	kacchora	n		kind of turmeric
663	kacvī	f		Arum Colocasia (a plant with an esculent root)
664	kacvīvana	n		name of a forest
665	kajiṅga	m		name of a people
666	kajjala	m		cloud
667	kajjalā	f		species of fish
668	kajjalī	f		Aethiops Mineralis; ink; a mixture of sulphure and mercury
669	kajjala	n		lampblack (used as a collyrium and applied to the eyelashes or eyelids medicinally or as an ornament); sulphuret of lead or antimony; dregs; [alchemy] = kajjalī
670	kajjaladhvaja	m		lamp
672	kajjalarocaka	mn		wooden stand or tripod on which a lamp is placed; candlestick
673	kajjalītīrtha	n		name of a TIrtha
674	kajjalikā	f		powder (esp. made of mercury)
675	kajjalita	adj		covered with lampblack or with a collyrium prepared from it; blackened; soiled
676	kañcaṭa	mn		Commelina Salicifolia; Commelina bengalensis
677	kañcaḍa	m		Commelina Bengalensis
678	kañcāra	m		sun
679	kañcikā	f		small boil; branch of a bamboo
680	kañcideka	n		name of a village
681	kañcidevā	f		name of a village
682	kañcuka	mfn		dress fitting close to the upper part of the body; armour; mail; cuirass; corselet; bodice; jacket
683	kañcuka	mf		skin of a snake; husk; shell; cover; cloth; envelope; disguise; [alchemy] a class of impurities of mercury
684	kañcukī	f		Lipeocercis Serrata; = kañcukin
686	kañcukālu	m		snake
687	kañcukita	adj		furnished with armour or mail; (describes a pearl of low quality)
688	kañcukin	adj		furnished with armour or mail; covered with; wrapped up in
689	kañcukin	m		an attendant or overseer of the women's apartments; chamberlain; libidinous man; debauchee; snake; name of several plants (Agallochum, barley, Cicer Arietinum, Lipeocercis Serrata); barley; the chick-pea
690	kañcukirecaka	m		the chamberlain and the forester
691	kañcukīya	m		chamberlain
692	kañcula	m		partridge
693	kañculī	f		bodice; jacket
694	kañculikā	f		bodice; corset; [alchemy] = kañcuka (?)
695	kañcūla	mn		corset
696	kaṃja	m		"produced from the head"; hair; "produced from water"; name of BrahmA
697	kaṃja	n		lotus; AmRta; food of the gods
698	kaṃjaja	m		"born from a lotus"; name of BrahmA
699	kaṃjanābha	m		"lotus-naveled"; name of VizZu
700	kaṃjabāhu	m		"having hairy arms"; name of an Asura
701	kaṃjavadana	n		lotus-face
702	kañjaka	m		bird Gracula Religiosa
703	kañjana	m		kind of bird; name of KAma; god of love
704	kañjala	m		bird Gracula Religiosa
705	kañjinī	f		courtesan
706	kañjara	m		belly; an elephant; sun; name of BrahmA
707	kañjāra	m		peacock; belly; an elephant; Muni; hermit; sun; name of BrahmA
708	kañjikā	f		Siphonantus Indica
709	kaṭa	m		twist of straw of grass; straw mat; screen of straw; hip; hollow above the hip or the loins; hip and loins; temples of an elephant; glance or side look; throw of the dice in hazard; corpse; hearse or any vehicle for conveying a dead body; burning-ground or place of sepulture; time or season; excess; superabundance; an annual plant; grass; Saccharum Sara; thin piece of wood; plank; agreement; environs; name of a Rākṣasa
710	kaṭī	f		long pepper
711	kaṭa	n		dust of flowers
712	kaṭakaṭa	m		name of Siva
713	kaṭakuṭi	m		straw hut
714	kaṭakṛt	m		plaiter of straw mats
715	kaṭakola	m		spittoon
716	kaṭakriyā	f		plaiting straw mats
717	kaṭakhādaka	adj		eating much voracious
718	kaṭakhādaka	m		jackal; crow; glass vessel; tumbler; bowl
719	kaṭaghoṣa	m		name of a place in the east of India
720	kaṭaghoṣīya	adj		belonging to the place called KafaGoza
721	kaṭaṃkaṭa	m		name of Śiva; name of Agni
722	kaṭaṃkaṭerī	f		turmeric
723	kaṭajaka	m		name of a man
724	kaṭanagara	n		name of a place in the east of India
725	kaṭanagarīya	adj		belonging to the place called Kafanagara
726	kaṭapallikuñcikā	f		straw hut
727	kaṭapalvala	m		name of a place
728	kaṭapalvalīya	adj		belonging to the place called Kafapalvala
729	kaṭapūtana	mf		a kind of Preta or demon (a form assumed by the deceased spirit of a Kzatriya who when alive neglected his duties)
730	kaṭabhaṅga	m		plucking or gleaning corn with the hands; destruction of a prince; royal misfortune
731	kaṭabhī	f		name of several other plants; Cardiospermum halicacabum; Clitoria ternatea Linn.
732	kaṭabhū	f		cheek or region of the temples of an elephant
733	kaṭamarda	m		name of Siva
734	kaṭamālinī	f		any vinous liquor
735	kaṭaṃbhara	m		Bignonia Indica
736	kaṭaṃbharā	f		female elephant; red arsenic; name of several plants
737	kaṭavraṇa	m		name of Bhīmasena
738	kaṭaśarkarā	f		species of sugar-cane; Guilandina Bonducella
739	kaṭasaṃghāta	m		frame of wicker-work
740	kaṭasthala	n		hip and loins; an elephant's temples
741	kaṭasthāla	n		corpse
742	kaṭākṣa	m		glance or side look; leer
743	kaṭākṣakṣetra	n		name of a country
744	kaṭākṣamāhātmya	n		name of work
745	kaṭākṣamūla	adj		caught by a glance
747	kaṭākṣita	adj		looked at with a side glance; leered at
748	kaṭākṣipy	ind		having looked at with a side glance
749	kaṭākṣepa	m		side glance; leer
750	kaṭāgni	m		fire kept up with dry grass or straw; straw placed round a criminal (according to Kull. the straw is wound round his neck and then kindled)
